chemical,activity,dosage,reference
(-)-EPICATECHIN,Antioxidant,IC50=6.3 ug/ml,"Duke, 1992 *"
(-)-EPICATECHIN,Antiperoxidant,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
(-)-EPICATECHIN,Antiviral,EC50=2 ug/ml,"Duke, 1992 *"
(-)-EPICATECHIN,Beta-Adrenergic Receptor Blocker,10 uM,"Zhu, M., Phillipson, J. D., Greengrass, P. M., Bowery, N. E., Cai, Y. 1997. Plant Polyphenols: Biologically Active Compounds or Non-Selective Binders to Protein? Phytochemistry, 44(3): 441-447."
(-)-EPICATECHIN,Cancer-Preventive,not available,"Stitt, P. A. Why George Should Eat Broccoli. Dougherty Co, Milwaukee, WI, 1990, 399 pp."
(-)-EPICATECHIN,Cardiotonic,not available,"Duke, 1992 *"
(-)-EPICATECHIN,Choline-Sparing,not available,"Duke, 1992 *"
(-)-EPICATECHIN,COMP-Inhibitor,not available,"Dullo, A. G., et al. 1999. Efficacy of a green tea extract rich in catechin polyphenols and caffeine in increasing 24-h energy expenditure and fat oxidation in humans. Am. J. Clinical Nutrition, 70: 1040-1045."
(-)-EPICATECHIN,Cytotoxic,TC50=>100 ug/ml,"Duke, 1992 *"
(-)-EPICATECHIN,Hypocholesterolemic,not available,"Duke, 1992 *"
(-)-EPICATECHIN,Hypoglycemic,not available,"Duke, 1992 *"
(-)-EPICATECHIN,Immunostimulant,not available,"Duke, 1992 *"
(-)-EPICATECHIN,Insulinogenic,not available,"Economic & Medicinal Plant Research, 6: 170."
(-)-EPICATECHIN,Lipoxygenase-1-Inhibitor,IC50=60 mM,"Duke, 1992 *"
(-)-EPICATECHIN,Lipoxygenase-Inhibitor,IC50=140 uM,"Phenolic Compounds in Food and Their Effects on Health. Antioxidants & Cancer Prevention. Huang, M.T., Ho, C.T. and Lee, C.Y. eds. 1992. ACS Symposium Series 507.ACS, Washington 402 pp."
(-)-EPICATECHIN,Lipoxygenase-Inhibitor,IC97=5 mM,"Oszmianski, J. and Lee, C.Y. 1990. Inhibitory Effect of Phenolics on Carotene Bleaching in Vegetables. J. Agric. Food Chem. 38: 688-690."
(-)-EPICATECHIN,Pancreatogenic,not available,"Duke, 1992 *"
(-)-EPICATECHIN,Pesticide,not available,"Duke, 1992 *"
(-)-EPICATECHIN,Reverse-Transcriptase-Inhibitor,10 ng/ml,"McKenna, D. J., Hughes, K., and Jones, K. 2000. Green Tea Monograph. Alternative Therapies, 6(3): 61-82."
(-)-EPICATECHIN,Vasodilator,uM,"McKenna, D. J., Hughes, K., and Jones, K. 2000. Green Tea Monograph. Alternative Therapies, 6(3): 61-82."
(-)-EPICATECHIN,Xanthine-Oxidase-Inhibitor,IC50=>40,"Hatano, T., Yasuhara, T., Yoshihara, R., Agata, I., Noro, T., and Okuda, T. 1989. Effects of Interaction of Tannins with Co-existing Substances.VII. Inhibitory Effects of Tannins Related Polyphenols on Xanthine Oxidase. Chem. Pharm. Bull. 38(5): 1224-1229"
(-)-EPIGALLOCATECHIN,ACE-Inhibitor,not available,"Duke, 1992 *"
(-)-EPIGALLOCATECHIN,Aldose-Reductase-Inhibitor,not available,"Duke, 1992 *"
(-)-EPIGALLOCATECHIN,Antiacne,not available,"Duke, 1992 *"
(-)-EPIGALLOCATECHIN,Antiamebic,not available,"Meckes, M., Calzada, F., Tapia-Contreras, A., Cedillo-Rivera, R. 1999. Antiprotozoal Properties of Helianthemum glomeratum. Phytotherapy Research, 13(2): 102-105."
(-)-EPIGALLOCATECHIN,Antibacterial,not available,"Duke, 1992 *"
(-)-EPIGALLOCATECHIN,Anticarcinogenic,not available,"Duke, 1992 *"
(-)-EPIGALLOCATECHIN,Anticaries,not available,"Duke, 1992 *"
(-)-EPIGALLOCATECHIN,Antigiardial,not available,"Meckes, M., Calzada, F., Tapia-Contreras, A., Cedillo-Rivera, R. 1999. Antiprotozoal Properties of Helianthemum glomeratum. Phytotherapy Research, 13(2): 102-105."
(-)-EPIGALLOCATECHIN,Antimutagenic,not available,"Duke, 1992 *"
(-)-EPIGALLOCATECHIN,Antioxidant,IC50=1.4 ug/ml,"Duke, 1992 *"
(-)-EPIGALLOCATECHIN,Antioxidant,IC50=2.3 uM,"Duke, 1992 *"
(-)-EPIGALLOCATECHIN,Antiradicular,not available,"Duke, 1992 *"
(-)-EPIGALLOCATECHIN,Antistreptococcic,not available,"Duke, 1992 *"
(-)-EPIGALLOCATECHIN,Beta-Adrenergic Receptor Blocker,10 uM,"Zhu, M., Phillipson, J. D., Greengrass, P. M., Bowery, N. E., Cai, Y. 1997. Plant Polyphenols: Biologically Active Compounds or Non-Selective Binders to Protein? Phytochemistry, 44(3): 441-447."
(-)-EPIGALLOCATECHIN,COMP-Inhibitor,not available,"Dullo, A. G., et al. 1999. Efficacy of a green tea extract rich in catechin polyphenols and caffeine in increasing 24-h energy expenditure and fat oxidation in humans. Am. J. Clinical Nutrition, 70: 1040-1045."
(-)-EPIGALLOCATECHIN,Lipoxygenase-Inhibitor,IC50=21 uM,"Phenolic Compounds in Food and Their Effects on Health. Antioxidants & Cancer Prevention. Huang, M.T., Ho, C.T. and Lee, C.Y. eds. 1992. ACS Symposium Series 507.ACS, Washington 402 pp."
(-)-EPIGALLOCATECHIN,Neuroprotective,400 uM,"Duke, 1992 *"
(-)-EPIGALLOCATECHIN,Peroxynitrite-Scavenger,IC50=0.228 ug/ml,"Duke, 1992 *"
(-)-EPIGALLOCATECHIN,Pesticide,not available,"Duke, 1992 *"
(-)-EPIGALLOCATECHIN,Protisticide,not available,"Meckes, M., Calzada, F., Tapia-Contreras, A., Cedillo-Rivera, R. 1999. Antiprotozoal Properties of Helianthemum glomeratum. Phytotherapy Research, 13(2): 102-105."
(-)-EPIGALLOCATECHIN,Xanthine-Oxidase-Inhibitor,IC50=>40,"Hatano, T., Yasuhara, T., Yoshihara, R., Agata, I., Noro, T., and Okuda, T. 1989. Effects of Interaction of Tannins with Co-existing Substances.VII. Inhibitory Effects of Tannins Related Polyphenols on Xanthine Oxidase. Chem. Pharm. Bull. 38(5): 1224-1229"
4-HYDROXYBENZALDEHYDE,Allelochemic,IC50=0.38 mM,"Lydon, J. & Duke, S., The potential of pesticides from plants, pp. 1-41 in Craker, L. & Simon, J., eds, Herbs, Spices & Medicinal Plants: Recent Advances in Botany, Horticulture, & Pharmacology, v. 4, Oryx Press, Phoenix, 1989, 267pp."
4-HYDROXYBENZALDEHYDE,Cancer-Preventive,not available,"Stitt, P. A. Why George Should Eat Broccoli. Dougherty Co, Milwaukee, WI, 1990, 399 pp."
4-HYDROXYBENZALDEHYDE,Pesticide,not available,"Duke, 1992 *"
ABSCISSIC-ACID,Juvabional,not available,"Duke, 1992 *"
ABSCISSIC-ACID,Pesticide,not available,"Duke, 1992 *"
ABSCISSIC-ACID,Phytohormonal,not available,"Duke, 1992 *"
ACETIC-ACID,Acidulant,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
ACETIC-ACID,Antibacterial,"5,000 ppm","Duke, 1992 *"
ACETIC-ACID,Antiotitic,not available,Martindale's 28th
ACETIC-ACID,Antisalmonella,not available,"Duke, 1992 *"
ACETIC-ACID,Antivaginitic,1-2%,"Duke, 1992 *"
ACETIC-ACID,Expectorant,not available,Martindale's 28th
ACETIC-ACID,Fungicide,not available,Martindale's 29th
ACETIC-ACID,Keratitigenic,not available,"Duke, 1992 *"
ACETIC-ACID,Mucolytic,not available,Martindale's 29th
ACETIC-ACID,Osteolytic,not available,"Duke, 1992 *"
ACETIC-ACID,Perfumery,"FEMA 6,000-40,000 ppm",Aloe Research Council - Duke writeup of non-peer reviewd book by Coats and draft by Henry
ACETIC-ACID,Pesticide,not available,"Duke, 1992 *"
ACETIC-ACID,Protisticide,not available,Martindale's 29th
ACETIC-ACID,Spermicide,not available,Martindale's 28th
ACETIC-ACID,Ulcerogenic,not available,"HerbalGram No. 20, page 9."
ACETIC-ACID,Verrucolytic,not available,"Duke, 1992 *"
ACETIC-ACID,Acidulant,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
ACETIC-ACID,Antibacterial,"5,000 ppm","Duke, 1992 *"
ACETIC-ACID,Antiotitic,not available,Martindale's 28th
ACETIC-ACID,Antisalmonella,not available,"Duke, 1992 *"
ACETIC-ACID,Antivaginitic,1-2%,"Duke, 1992 *"
ACETIC-ACID,Expectorant,not available,Martindale's 28th
ACETIC-ACID,Fungicide,not available,Martindale's 29th
ACETIC-ACID,Keratitigenic,not available,"Duke, 1992 *"
ACETIC-ACID,Mucolytic,not available,Martindale's 29th
ACETIC-ACID,Osteolytic,not available,"Duke, 1992 *"
ACETIC-ACID,Perfumery,"FEMA 6,000-40,000 ppm",Aloe Research Council - Duke writeup of non-peer reviewd book by Coats and draft by Henry
ACETIC-ACID,Pesticide,not available,"Duke, 1992 *"
ACETIC-ACID,Protisticide,not available,Martindale's 29th
ACETIC-ACID,Spermicide,not available,Martindale's 28th
ACETIC-ACID,Ulcerogenic,not available,"HerbalGram No. 20, page 9."
ACETIC-ACID,Verrucolytic,not available,"Duke, 1992 *"
ALANINE,Antioxidant,not available,"Larson, R.A. 1987. Review Article Number 30. The Antioxidants of Higher Plants. Phytochemistry. 27: 969-978."
ALANINE,Cancer-Preventive,not available,"Stitt, P. A. Why George Should Eat Broccoli. Dougherty Co, Milwaukee, WI, 1990, 399 pp."
ALANINE,Oxidant,not available,"Larson, R.A. 1987. Review Article Number 30. The Antioxidants of Higher Plants. Phytochemistry. 27: 969-978."
ALPHA-AMYRIN,Analgesic,not available,"Duke, 1992 *"
ALPHA-AMYRIN,Antiedemic,IC43=40 mg/kg ipr rat,"Duke, 1992 *"
ALPHA-AMYRIN,Antiinflammatory,"IC71=1,000 ppm orl","Duke, 1992 *"
ALPHA-AMYRIN,Antinociceptive,not available,"Duke, 1992 *"
ALPHA-AMYRIN,Antitumor,not available,"Duke, 1992 *"
ALPHA-AMYRIN,Antiulcer,not available,"Duke, 1992 *"
ALPHA-AMYRIN,Cytotoxic,50-400,"Duke, 1992 *"
ALPHA-AMYRIN,Gastroprotective,not available,"Duke, 1992 *"
ALPHA-AMYRIN,Hepatoprotective,not available,"Duke, 1992 *"
ALPHA-AMYRIN,Insectifuge,not available,"Duke, 1992 *"
ALPHA-CAROTENE,Anticancer,not available,"Joseph, J., Nadeau, D. and Underwood, A. 2001. The Color Code. Hyperion, NY."
ALPHA-CAROTENE,Anticancer (Liver),not available,"Joseph, J., Nadeau, D. and Underwood, A. 2001. The Color Code. Hyperion, NY."
ALPHA-CAROTENE,Anticancer (Lung),not available,"Joseph, J., Nadeau, D. and Underwood, A. 2001. The Color Code. Hyperion, NY."
ALPHA-CAROTENE,Anticancer (Skin),not available,"Joseph, J., Nadeau, D. and Underwood, A. 2001. The Color Code. Hyperion, NY."
ALPHA-CAROTENE,Antiproliferant,10 x beta-carotene,"Joseph, J., Nadeau, D. and Underwood, A. 2001. The Color Code. Hyperion, NY."
ALPHA-CAROTENE,Colorant,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
ALPHA-CAROTENE,Previtamin-A,not available,"Duke, 1992 *"
ALPHA-LINOLENIC-ACID,5-Alpha-Reductase-Inhibitor,not available,"Duke, 1992 *"
ALPHA-LINOLENIC-ACID,Antiaggregant,not available,"Cunane, S. and Thompson, L. U., eds. 1995. Flaxseed in Human Nutrition. AOCS Press, Champaign IL. 384 pp."
ALPHA-LINOLENIC-ACID,Antihypertensive,not available,"Duke, 1992 *"
ALPHA-LINOLENIC-ACID,Antiinflammatory,IC50=42 uM,"Duke, 1992 *"
ALPHA-LINOLENIC-ACID,Antileukotriene-D4,IC50=42 uM,"Duke, 1992 *"
ALPHA-LINOLENIC-ACID,Antimenorrhagic,not available,"Pizzorno, J.E. and Murray, M.T. 1985. A Textbook of Natural Medicine. John Bastyr College Publications, Seattle, Washington (Looseleaf)."
ALPHA-LINOLENIC-ACID,Antimetastatic,not available,"Cunane, S. and Thompson, L. U., eds. 1995. Flaxseed in Human Nutrition. AOCS Press, Champaign IL. 384 pp."
ALPHA-LINOLENIC-ACID,Antiprostatitic,not available,"Pizzorno, J.E. and Murray, M.T. 1985. A Textbook of Natural Medicine. John Bastyr College Publications, Seattle, Washington (Looseleaf)."
ALPHA-LINOLENIC-ACID,Cancer-Preventive,not available,"Stitt, P. A. Why George Should Eat Broccoli. Dougherty Co, Milwaukee, WI, 1990, 399 pp."
ALPHA-LINOLENIC-ACID,Hypotensive,not available,"Cunane, S. and Thompson, L. U., eds. 1995. Flaxseed in Human Nutrition. AOCS Press, Champaign IL. 384 pp."
ALPHA-LINOLENIC-ACID,Immunostimulant,0.12 ml/man/day,"Cunane, S. and Thompson, L. U., eds. 1995. Flaxseed in Human Nutrition. AOCS Press, Champaign IL. 384 pp."
ALPHA-LINOLENIC-ACID,Lymphocytogenic,0.5 ug/ml,"Cunane, S. and Thompson, L. U., eds. 1995. Flaxseed in Human Nutrition. AOCS Press, Champaign IL. 384 pp."
ALPHA-LINOLENIC-ACID,Propecic,not available,"Duke, 1992 *"
ALPHA-LINOLENIC-ACID,Prostaglandin-Synthesis-Inhibitor,39.5 g/day/hmn,"Ferretti, A., Flanagan, V. P. 1996. Antithromboxane Activity of Dietary Alpha-linolenic Acid: A Pilot Study. Prostaglandins Leukotrienes Essential Fatty Acids, 54(6): 451-455. ARS, USDA."
ALPHA-LINOLENIC-ACID,Vasodilator,not available,"Duke, 1992 *"
ALPHA-TERPINEOL,ACE-Inhibitor,100 ug/ml (weak activity),"Duke, 1992 *"
ALPHA-TERPINEOL,Aldose-Reductase-Inhibitor,100 ug/ml,"Okamura, K., Iwakami, S., Matsunaga, T. 1992. Biological Activity of Monoterpenes from Trees. Toyama-Ken Yakuji Kenkyusho Nenpo, (20): 95-101."
ALPHA-TERPINEOL,Allelopathic,not available,"Wright,C.W.(Ed)2002.Medicinal&Aromatic Plants-Industrial Profiles.Artemisia.344pp.Maffei,M.(Ed)2002.Vetiveria.The Genus Vetiveria.Taylor&Francis.NY,NY.191pp.Southwell,I.,Lowe,R.(Eds)1999.Tea Tree.The Genus Melaleuca.Harwood Acad.Pub.Amsterdam,Netherlands."
ALPHA-TERPINEOL,Antiacne,not available,"Duke, 1992 *"
ALPHA-TERPINEOL,Antibacterial,"MIC=800-1,600 ug/ml","Muroi, H. and Kubo, I. 1993. Combination Effects of Antibacterial Compounds in Green Tea Flavor against Streptococcus mutans. J. Agric. Food Chem. 41: 1102-1105."
ALPHA-TERPINEOL,Anticancer,not available,"Joseph, J., Nadeau, D. and Underwood, A. 2001. The Color Code. Hyperion, NY."
ALPHA-TERPINEOL,Anticariogenic,"MIC=800-1,600 ug/ml","Muroi, H. and Kubo, I. 1993. Combination Effects of Antibacterial Compounds in Green Tea Flavor against Streptococcus mutans. J. Agric. Food Chem. 41: 1102-1105."
ALPHA-TERPINEOL,Antiinflammatory,not available,"Duke, 1992 *"
ALPHA-TERPINEOL,Antiproliferant,not available,"Duke, 1992 *"
ALPHA-TERPINEOL,Antiseptic,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
ALPHA-TERPINEOL,Cicatrizant,ED50=240 ug/g mus,"Duke, 1992 *"
ALPHA-TERPINEOL,FLavor,FEMA 5-40,Aloe Research Council - Duke writeup of non-peer reviewd book by Coats and draft by Henry
ALPHA-TERPINEOL,Insecticide,1.29 uM/fly,"Duke, 1992 *"
ALPHA-TERPINEOL,Interleukin-6-Inhibitor,not available,"Duke, 1992 *"
ALPHA-TERPINEOL,Mosquitofuge,> Deet,"Duke, 1992 *"
ALPHA-TERPINEOL,Motor-Depressant,not available,"Buchbauer et al, e.g.Buchbauer et al,1993.Therapeutic properties of essential oils and fragrances. Chap.12 in Teranishi,R, Buttery,R.G and Sugisawa,H. Eds. Bioactive Volatile Compounds from Plants. ACS Symposium Series 525. Amer. Chem. Soc., Washington DC"
ALPHA-TERPINEOL,Nematicide,MLC=1 mg/ml,"Shoyakugaku Zasshi, 44: 183."
ALPHA-TERPINEOL,Perfumery,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
ALPHA-TERPINEOL,Pesticide,not available,"Duke, 1992 *"
ALPHA-TERPINEOL,Sedative,not available,"Buchbauer et al, e.g.Buchbauer et al,1993.Therapeutic properties of essential oils and fragrances. Chap.12 in Teranishi,R, Buttery,R.G and Sugisawa,H. Eds. Bioactive Volatile Compounds from Plants. ACS Symposium Series 525. Amer. Chem. Soc., Washington DC"
ALPHA-TERPINEOL,Termiticide,IC100=5 mg/g,"Duke, 1992 *"
ALPHA-TERPINEOL,Transdermal,not available,"Duke, 1992 *"
ALPHA-TERPINEOL,Vulnerary,ED50=240 ug/g mus,"Duke, 1992 *"
ALPHA-TOCOPHEROL,Antialzheimeran,not available,"Duke, 1992 *"
ALPHA-TOCOPHEROL,Antianginal,not available,"Duke, 1992 *"
ALPHA-TOCOPHEROL,Antiarthritic,not available,"Duke, 1992 *"
ALPHA-TOCOPHEROL,Antiasthmatic,not available,"Duke, 1992 *"
ALPHA-TOCOPHEROL,Antiatherosclerotic,not available,"Soumyanath, A. Ed. 2006. Traditional Medicines for Modern Times - Antidiabetic Plants. CRC Press, Taylor & Francis Group. Boca Raton, FL. 314 pp."
ALPHA-TOCOPHEROL,Anticancer,not available,"Duke, 1992 *"
ALPHA-TOCOPHEROL,Anticataract,not available,"Duke, 1992 *"
ALPHA-TOCOPHEROL,Anticonvulsant,Synergen,"Duke, 1992 *"
ALPHA-TOCOPHEROL,Antidementia,not available,"Duke, 1992 *"
ALPHA-TOCOPHEROL,Antidiabetic,not available,"Soumyanath, A. Ed. 2006. Traditional Medicines for Modern Times - Antidiabetic Plants. CRC Press, Taylor & Francis Group. Boca Raton, FL. 314 pp."
ALPHA-TOCOPHEROL,Antiinfarctal,not available,"Soumyanath, A. Ed. 2006. Traditional Medicines for Modern Times - Antidiabetic Plants. CRC Press, Taylor & Francis Group. Boca Raton, FL. 314 pp."
ALPHA-TOCOPHEROL,Antiinfertility,not available,"Duke, 1992 *"
ALPHA-TOCOPHEROL,Antiischemic,not available,"Duke, 1992 *"
ALPHA-TOCOPHEROL,Antimaculitic,not available,"Duke, 1992 *"
ALPHA-TOCOPHEROL,Antimutagenic,not available,"Economic & Medicinal Plant Research, 6: 235."
ALPHA-TOCOPHEROL,Antineuropathic,not available,"Duke, 1992 *"
ALPHA-TOCOPHEROL,Antioxidant,5 x quercetin,"Duke, 1992 *"
ALPHA-TOCOPHEROL,Antioxidant,IC34=10 uM,"Duke, 1992 *"
ALPHA-TOCOPHEROL,Antiparkinsonian,not available,"Duke, 1992 *"
ALPHA-TOCOPHEROL,Antiradicular,5 x quercetin,"Duke, 1992 *"
ALPHA-TOCOPHEROL,Antiretinotic,not available,"Duke, 1992 *"
ALPHA-TOCOPHEROL,Antirheumatic,not available,"Duke, 1992 *"
ALPHA-TOCOPHEROL,Antistroke,not available,"Duke, 1992 *"
ALPHA-TOCOPHEROL,Antitumor,not available,"Duke, 1992 *"
ALPHA-TOCOPHEROL,Antitumor (Bladder),not available,"Duke, 1992 *"
ALPHA-TOCOPHEROL,Antitumor (Prostate),not available,"Duke, 1992 *"
ALPHA-TOCOPHEROL,Antitumor (Stomach),not available,"Duke, 1992 *"
ALPHA-TOCOPHEROL,Antitumor-Promoter,not available,"Duke, 1992 *"
ALPHA-TOCOPHEROL,Cancer-Preventive,not available,"Duke, 1992 *"
ALPHA-TOCOPHEROL,Cardioprotective,not available,"Duke, 1992 *"
ALPHA-TOCOPHEROL,Circulotonic,not available,"Duke, 1992 *"
ALPHA-TOCOPHEROL,Immunomodulator,not available,"Duke, 1992 *"
ALUMINUM,Antisilicotic,not available,"Medicinal and Poisonous Plants of the Tropics. Leeuwenberg, A.J.M., ed. Pudoc, Wageningen. 1987."
ALUMINUM,Antivaginitic,not available,Martindale's 28th
ALUMINUM,Candidicide,not available,Martindale's 28th
ALUMINUM,Encephalopathic,not available,Martindale's 29th
ALUMINUM,Pesticide,not available,"Duke, 1992 *"
ALUMINUM,Antisilicotic,not available,"Medicinal and Poisonous Plants of the Tropics. Leeuwenberg, A.J.M., ed. Pudoc, Wageningen. 1987."
ALUMINUM,Antivaginitic,not available,Martindale's 28th
ALUMINUM,Candidicide,not available,Martindale's 28th
ALUMINUM,Encephalopathic,not available,Martindale's 29th
ALUMINUM,Pesticide,not available,"Duke, 1992 *"
ANTHERAXANTHIN,Colorant,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
ANTHOCYANIDINS,Antidysmenorrheic,20-40 mg 3 x day,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
ANTHOCYANIDINS,Antioxidant,not available,"Duke, 1992 *"
ANTHOCYANIDINS,Antiperiodontal,not available,"Pizzorno, J.E. and Murray, M.T. 1985. A Textbook of Natural Medicine. John Bastyr College Publications, Seattle, Washington (Looseleaf)."
ANTHOCYANIDINS,Antiplaque,not available,"Pizzorno, J.E. and Murray, M.T. 1985. A Textbook of Natural Medicine. John Bastyr College Publications, Seattle, Washington (Looseleaf)."
ANTHOCYANIDINS,Collagenase-Inhibitor,not available,"Duke, 1992 *"
ANTHOCYANIDINS,Collagenic,not available,"Duke, 1992 *"
ANTHOCYANIDINS,Metal-Chelator,not available,"Duke, 1992 *"
ANTHOCYANIDINS,Myorelaxant,20-40 mg 3 x day,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
ANTHOCYANIDINS,Ornithine-Decarboxylase-Inhibitor,not available,"Duke, 1992 *"
ANTHOCYANIDINS,Prooxidant,not available,"Duke, 1992 *"
ANTHOCYANINS,Antiapoptotic,not available,"Duke, 1992 *"
ANTHOCYANINS,Antiarthritic,120 mg/man orl,"Duke, 1992 *"
ANTHOCYANINS,Anticancer,120 mg/man orl,"Duke, 1992 *"
ANTHOCYANINS,Anticarcinogenic,not available,"Duke, 1992 *"
ANTHOCYANINS,Anticollegenase,not available,"Duke, 1992 *"
ANTHOCYANINS,Antidiabetic,not available,"Duke, 1992 *"
ANTHOCYANINS,Antielastase,not available,"Duke, 1992 *"
ANTHOCYANINS,Antihyperglycemic,not available,"Duke, 1992 *"
ANTHOCYANINS,Antihyperinsulinemic,not available,"Duke, 1992 *"
ANTHOCYANINS,Antihyperleptinemic,not available,"Duke, 1992 *"
ANTHOCYANINS,Antiinflammatory,not available,"Duke, 1992 *"
ANTHOCYANINS,Antimutagenic,not available,"Duke, 1992 *"
ANTHOCYANINS,Antimyopic,600 mg/man orl,"Duke, 1992 *"
ANTHOCYANINS,Antinyctalopic,600 mg/man orl,"Duke, 1992 *"
ANTHOCYANINS,Antiobesity,not available,"Duke, 1992 *"
ANTHOCYANINS,Antioxidant,not available,"Duke, 1992 *"
ANTHOCYANINS,Antiproliferant,not available,"Duke, 1992 *"
ANTHOCYANINS,Antitumor,120 mg/man orl,"Duke, 1992 *"
ANTHOCYANINS,Antivaricose,not available,"Duke, 1992 *"
ANTHOCYANINS,Antiviral,not available,"Duke, 1992 *"
ANTHOCYANINS,Chemopreventive,not available,"Duke, 1992 *"
ANTHOCYANINS,COX-1-Inhibitor,IC45=125 ug/ml,"Duke, 1992 *"
ANTHOCYANINS,COX-2-Inhibitor,IC47=125 ug/ml,"Duke, 1992 *"
ANTHOCYANINS,Goitrogenic,not available,"Duke, 1992 *"
ANTHOCYANINS,Hemostat,not available,"Duke, 1992 *"
ANTHOCYANINS,NO-Scavenger,not available,"Duke, 1992 *"
ANTHOCYANINS,Pesticide,not available,"Duke, 1992 *"
ANTHOCYANINS,Vasoactive,not available,"Duke, 1992 *"
ANTHOCYANINS,Vasodilator,not available,"Duke, 1992 *"
ANTHOCYANINS,Vasoprotective,not available,"Duke, 1992 *"
ANTHOCYANINS,Antiapoptotic,not available,"Duke, 1992 *"
ANTHOCYANINS,Antiarthritic,120 mg/man orl,"Duke, 1992 *"
ANTHOCYANINS,Anticancer,120 mg/man orl,"Duke, 1992 *"
ANTHOCYANINS,Anticarcinogenic,not available,"Duke, 1992 *"
ANTHOCYANINS,Anticollegenase,not available,"Duke, 1992 *"
ANTHOCYANINS,Antidiabetic,not available,"Duke, 1992 *"
ANTHOCYANINS,Antielastase,not available,"Duke, 1992 *"
ANTHOCYANINS,Antihyperglycemic,not available,"Duke, 1992 *"
ANTHOCYANINS,Antihyperinsulinemic,not available,"Duke, 1992 *"
ANTHOCYANINS,Antihyperleptinemic,not available,"Duke, 1992 *"
ANTHOCYANINS,Antiinflammatory,not available,"Duke, 1992 *"
ANTHOCYANINS,Antimutagenic,not available,"Duke, 1992 *"
ANTHOCYANINS,Antimyopic,600 mg/man orl,"Duke, 1992 *"
